Lufttemperatur 2m °C,Windgeschw 10m m/s,Relative Feuchte,Globale Strahlung W/m^2,Absolute Feuchte g/kg,Luftdruck hPa
1.9,0.3,0.95,0,4.2,990
1.2,0.4,0.97,0,4.1,990
0.6,0.5,0.98,0,4,989
0.7,0.5,0.98,0,4,990
0.7,0.6,0.98,0,4,990
0.7,0.4,0.98,0,4,990
0.9,0.8,0.97,0,4,990
0.8,0.9,0.96,0,4,990
0.6,0.9,0.99,0,4,990
1.3,0.1,0.99,42,4.1,991
1.7,0.3,0.99,79,4.3,991
2.4,0.2,0.97,116,4.4,991
2.4,0.5,0.96,104,4.4,991
2.6,0.6,0.94,70,4.4,991
2.5,1.1,0.93,55,4.4,990
2.1,0.9,0.93,28,4.3,990
1.9,0.5,0.92,2,4.1,991
1.8,0.8,0.92,0,4.1,991
1.6,0.8,0.92,0,4,991
1.2,0.7,0.93,0,4,992
0.8,1.1,0.94,0,3.9,992
0.9,1.3,0.94,0,3.9,992
0.9,1.2,0.93,0,3.8,992
1,0.9,0.91,0,3.8,992
1.1,1.1,0.91,0,3.8,992
1.2,1.1,0.92,0,3.9,992
1.1,1.5,0.93,0,3.9,993
1.4,2,0.92,0,3.9,993
1.2,1.9,0.92,0,3.9,993
1,1.5,0.93,0,3.9,994
0.9,1.6,0.93,0,3.9,994
0.9,2,0.93,0,3.8,995
1.1,1.7,0.92,0,3.8,995
1.1,1.7,0.92,33,3.9,996
1.5,2,0.92,76,3.9,997
1.8,1.7,0.9,103,3.9,998
2.4,2.1,0.87,108,3.9,999
2.5,2.1,0.84,92,3.8,999
2.4,1.7,0.84,73,3.8,1000
1.2,1.2,0.86,51,3.7,1000
-0.5,1.1,0.88,9,3.5,1001
-0.9,1.3,0.9,0,3.3,1002
-0.8,1.2,0.92,0,3.3,1003
-2.2,0.8,0.95,0,3.3,1004
-1.6,0.5,0.97,0,3.2,1005
-1.7,0.7,0.97,0,3.3,1006
-1,0.6,0.98,0,3.4,1007
-0.8,0.5,0.98,0,3.5,1007
-0.8,0.1,0.98,0,3.5,1008
-0.6,0.1,0.98,0,3.6,1008
-0.5,0,0.98,0,3.6,1009
-0.6,0.1,0.98,0,3.6,1009
-0.6,0.1,0.99,0,3.6,1009
-0.5,0.1,0.98,0,3.6,1010
-0.5,0.1,0.98,0,3.6,1010
-0.6,0.1,0.98,0,3.6,1011
-0.6,0.7,1,0,3.6,1011
-0.4,0.4,1,37,3.7,1011
0.1,0.1,0.99,76,3.7,1012
0.5,0.3,0.97,73,3.8,1012
0.8,0.4,0.96,62,3.8,1012
0.8,0.3,0.95,69,3.8,1012
0.8,0.3,0.94,51,3.8,1012
1,0.7,0.92,25,3.7,1012
0.9,1.7,0.91,2,3.7,1012
0.9,1.3,0.93,0,3.8,1012
0.8,1.5,0.94,0,3.8,1012
0.9,0.9,0.95,0,3.8,1012
0.7,0.8,0.95,0,3.8,1013
0.8,1,0.96,0,3.8,1013
1.1,1.1,0.95,0,3.9,1013
1.1,1.4,0.94,0,3.9,1013
1,2,0.94,0,3.8,1013
0,1.7,0.94,0,3.7,1012
-0.3,1.3,0.93,0,3.5,1011
-2.2,1.2,0.95,0,3.3,1011
-0.6,1.6,0.98,0,3.4,1011
-1.4,2.6,0.98,0,3.5,1010
-0.5,2.7,0.96,0,3.4,1009
-0.5,2.6,0.93,0,3.4,1009
-0.5,2.4,0.94,0,3.4,1009
-0.1,2.3,0.94,64,3.5,1008
0.7,2.6,0.91,143,3.5,1008
1.7,2.8,0.83,213,3.5,1008
1.7,2.9,0.77,258,3.3,1007
2,2.7,0.74,235,3.2,1006
1.1,3.5,0.71,189,3,1005
0.6,2.7,0.73,80,3,1004
0.1,2.6,0.77,6,3,1004
-0.3,2.4,0.8,0,3,1003
0.1,2.7,0.79,0,3,1003
-0.3,2.6,0.78,0,3,1002
-0.9,3.4,0.79,0,2.9,1002
-0.9,3.2,0.79,0,2.8,1001
-1,3.2,0.78,0,2.8,1001
-1.2,3,0.78,0,2.7,1000
-1.4,2.7,0.78,0,2.7,999
-1.3,1.9,0.79,0,2.8,999
-1.6,2.1,0.79,0,2.7,999
-1.6,2.5,0.79,0,2.7,998
-1.6,2.6,0.77,0,2.6,997
-1.8,1.4,0.77,0,2.6,996
-2.3,1.9,0.79,0,2.6,996
-2.5,1.7,0.8,0,2.6,996
-2.4,2.2,0.79,0,2.5,996
-1.9,2.6,0.78,59,2.6,996
-1.6,3.8,0.75,151,2.5,995
-0.3,2.7,0.72,214,2.6,995
0.8,2.9,0.68,225,2.7,994
0.1,3.4,0.66,160,2.6,993
0.4,3.8,0.64,131,2.5,992
0.8,3.8,0.64,75,2.6,992
-0.8,3.7,0.67,10,2.6,991
-1.3,4,0.7,0,2.5,992
-1.9,2.6,0.72,0,2.5,991
-2.4,2.5,0.72,0,2.4,991
-2.4,3.5,0.72,0,2.3,991
-3,4.3,0.73,0,2.3,991
-2.9,3.8,0.72,0,2.2,991
-3.3,2.3,0.71,0,2.2,991
-3.5,3,0.72,0,2.2,991
-3.8,2.6,0.73,0,2.2,991
-4,2.5,0.74,0,2.1,990
-4.2,2.2,0.74,0,2.1,990
-4.5,2.2,0.74,0,2.1,990
-4.6,2,0.75,0,2.1,990
-4.8,3.1,0.76,0,2.1,990
-4.6,3,0.76,0,2.1,990
-4.8,3.2,0.76,0,2.1,990
-4.2,3.6,0.76,17,2.1,990
-3.5,3.7,0.74,62,2.1,990
-3.1,3.9,0.72,77,2.2,990
-2.5,3.1,0.71,37,2.2,989
-2.9,3.2,0.74,40,2.4,989
-2.7,3.4,0.81,61,2.6,988
-2.3,3.2,0.85,32,2.7,988
-2.6,3.2,0.86,4,2.8,988
-2.8,3.2,0.86,0,2.8,987
-2.3,2.9,0.87,0,2.8,987
-2.1,3.1,0.87,0,2.9,986
-2.2,3.8,0.86,0,2.9,986
-2.5,3.3,0.88,0,2.9,985
-2.4,2.6,0.88,0,2.9,984
-2.2,2.2,0.88,0,2.9,984
-1.9,2.4,0.88,0,2.9,983
-1.1,1.3,0.86,0,3,983
-0.6,1.9,0.84,0,3.1,982
-0.7,1.8,0.9,0,3.3,981
1.4,3,0.91,0,3.7,981
1.3,2.5,0.89,0,3.8,981
1.5,3.6,0.9,0,3.9,981
3.2,2.3,0.9,0,4.2,982
4.6,2.4,0.9,0,4.6,982
4.9,2.4,0.89,23,4.9,983
5.7,2.1,0.88,67,5,984
5.7,2.5,0.88,113,5.1,984
9.1,2.5,0.84,155,5.5,985
8.9,3.3,0.8,110,5.9,986
8.7,1.8,0.8,67,5.8,986
8.9,2.3,0.8,28,5.8,987
7,2.6,0.83,0,5.7,988
6.6,3.1,0.86,0,5.4,989
7.2,2,0.85,0,5.4,990
6.4,1.2,0.86,0,5.4,991
6.4,2,0.86,0,5.2,992
5.8,2,0.85,0,5.1,993
5.9,1.2,0.86,0,5,995
5,1.5,0.88,0,5,995
5.8,1.2,0.87,0,4.9,996
5.3,1.2,0.85,0,4.9,997
5.4,0.4,0.85,0,4.8,996
4.4,1.5,0.88,0,4.8,997
4.3,1.7,0.9,0,4.7,998
3.8,0.6,0.9,0,4.6,998
3.1,0.7,0.92,0,4.5,998
3.6,1,0.93,0,4.5,999
3.5,0.6,0.94,0,4.7,1000
4.6,0,0.93,51,4.8,1000
5.5,1.3,0.91,93,5,1000
7.7,1.6,0.85,145,5.2,1001
7.7,2.3,0.8,168,5.3,1002
7.9,2.3,0.79,166,5.2,1002
9.1,2.6,0.75,166,5.2,1001
6.9,1.4,0.77,100,5.2,1001
6.1,1.1,0.83,12,5,1000
4.5,0.8,0.87,0,4.9,1000
4.4,1.6,0.9,0,4.8,1000
4,3.3,0.91,0,4.7,999
4.1,1.6,0.91,0,4.7,999
4.1,1.9,0.91,0,4.7,999
3.9,2.3,0.92,0,4.7,998
4.3,3.2,0.92,0,4.8,997
4.4,2.5,0.9,0,4.7,997
3.8,4.6,0.89,0,4.6,997
4.6,3.9,0.87,0,4.5,996
5.2,3.2,0.82,0,4.5,994
4.8,4.6,0.8,0,4.4,994
4.5,4.8,0.81,0,4.3,993
4.1,3.9,0.82,0,4.3,992
4.6,5.2,0.82,0,4.3,992
3.8,1.8,0.83,0,4.3,992
4.6,1.7,0.83,16,4.4,992
5.1,1.1,0.8,38,4.4,993
6.1,2.9,0.75,37,4.3,994
6.6,2.3,0.72,42,4.3,994
6.8,2.5,0.7,32,4.4,994
6.7,2.7,0.71,22,4.4,994
6.5,1.5,0.72,15,4.5,994
7.3,1.8,0.74,5,4.7,994
7.9,2.1,0.76,0,5,995
5.7,2.1,0.81,0,5.1,995
6.7,1.3,0.84,0,5.1,996
6.3,2.1,0.83,0,5.1,996
7.5,2.1,0.83,0,5.2,997
6,1.4,0.84,0,5.2,997
5.1,0.5,0.87,0,5,997
5.1,1.7,0.88,0,4.9,997
5.4,0.6,0.88,0,5,997
5.2,1,0.9,0,5.1,997
5.2,0.5,0.92,0,5.2,997
